# word	clue	clue_type	freq
# Derived from dwyl/english-words (Unlicense) and Webster's
# 1913 via matthewreagan/WebstersEnglishDictionary (public
# domain). Regenerate with scripts/build_bank.py.
CHEW	To bite and grind with the teeth	definition	17
CHIN	The lower extremity of the face below the mouth	definition	38
CHIP	To cut small pieces from	definition	16
CHUB	A species to fresh-water fish of the Cyprinidæ or Carp family	proper	24
CHUM	A roommate, especially in a college or university	definition	3
CLAW	A sharp, hooked nail, as of a beast or bird	definition	53
CLEW	A ball of thread, yarn, or cord	definition	9
CLIO	The Muse who presided over history	proper	3
CLIP	To embrace, hence	definition	19
CLOD	A lump or mass, especially of earth, turf, or clay	definition	5
CLOT	A concretion or coagulation	definition	20
CLUB	A heavy staff of wood, usually tapering, and wielded the hand	definition	106
CLUE	A ball of thread, yarn, or cord	definition	1
CODA	A few measures added beyond the natural termination of a composition	definition	3
COLA	A genus of sterculiaceous trees, natives of tropical Africa, esp	proper	5
COLD	Deprived of heat, or having a low temperature	definition	361
COLE	A plant of the Brassica or Cabbage genus	proper	4
COLY	Any bird of the genus Colius and allied genera	proper	1
COOL	Moderately cold	definition	70
CORM	A solid bulb-shaped root, as of the crocus	definition	8
CORN	A thickening of the epidermis at some point, esp	definition	232
COSS	A Hindoo measure of distance, varying from one and a half to two English miles	proper	1
COUP	A sudden stroke	definition	5
COXA	The first joint of the leg of an insect or crustacean	definition	4
CRAG	A steep, rugged rock	definition	6
CRAW	The crop of a bird	definition	3
CREW	The Manx shearwater	proper	47
CRIC	The ring which turns inward and condenses the flame of a lamp	definition	1
CROW	To make the shrill sound characteristic of a cock, either in joy, gayety, or defiance	definition	66
CRUS	That part of the hind limb between the femur, or thigh, and the ankle, or tarsus	definition	3
CRUX	Anything that is very puzzling or difficult to explain	definition	3
CUBE	A regular solid body, with six equal square sides	definition	44
CULL	To separate, select, or pick out	definition	7
CULT	Attentive care	definition	4
CURD	The coagulated or thickened part of milk, as distingushed from the whey, or watery part	definition	18
CURL	To twist or form into ringlets	definition	38
CURT	Characterized by exessive brevity	definition	9
CUSP	A triangular protection from the intrados of an arch, or from an inner curve of tracery	definition	7
CYMA	A member or molding of the cornice, the profile of which is wavelike in form	definition	6
DALE	A low place between hills	definition	20
DANE	A native, or a naturalized inhabitant, of Denmark	proper	10
DARE	To have adequate or sufficient courage for any purpose	definition	52
DASH	To throw with violence or haste	definition	42
DAWN	To begin to grow light in the morning	definition	28
DAZE	To stupefy with excess of light	definition	3
DEAN	A dignitary or presiding officer in certain ecclesiastical and lay bodies	definition	27
DEEP	Extending far below the surface	definition	486
DEMY	A printing and a writing paper of particular sizes	definition	2
DERM	The integument of animal	definition	2
DERN	A gatepost or doorpost	definition	1
DEWY	Pertaining to dew	definition	18
DHOW	A coasting vessel of Arabia, East Africa, and the Indian Ocean	proper	1
DICE	Small cubes used in gaming or in determining by chance	definition	58
DIDO	A shrewd trick	definition	4
DIET	Course of living or nourishment	definition	55
DIME	A silver coin of the United States, of the value of ten cents	proper	1
DINE	To eat the principal regular meal of the day	definition	15
DIRT	Any foul of filthy substance, as excrement, mud, dust, etc	definition	44
DISC	A flat round plate	definition	2
DISH	A vessel, as a platter, a plate, a bowl, used for serving up food at the table	definition	140
DIVE	To plunge into water head foremost	definition	6
DOAB	A tongue or tract of land included between two rivers	definition	1
DOFF	To put off, as dress	definition	4
DOGE	The chief magistrate in the republics of Venice and Genoa	proper	4
DOIT	A small Dutch coin, worth about half a farthing	proper	3
DOLL	A child's puppet	definition	9
DOOR	An opening in the wall of a house or of an apartment, by which to go in and out	definition	252
